epoch,total_loss,l1_loss
1,318.19,17.91
2,226.26,15.86
3,233.03,15.88
4,359.13,19.48
5,253.55,16.74
6,219.26,15.65
7,342.54,19.03
8,267.48,17.26
9,332.51,18.39
10,313.3,18.51
11,251.27,16.58
12,224.02,15.87
13,309.75,17.63
14,310.6,18.15
15,246.04,16.53
16,344.46,19.12
17,316.56,18.36
18,226.19,15.84
19,266.37,17.19
20,241.53,16.42
21,355.22,19.3
22,247.32,16.71
23,292.09,18.1
24,277.93,17.4
25,312.03,18.46
26,249.92,16.18
27,269.24,17.41
28,266.19,16.57
29,315.32,18.39
30,246.66,16.61
31,236.02,16.22
32,286.48,17.74
33,316.57,18.28
34,325.78,18.75
35,356.55,19.04
36,250.92,16.25
37,373.39,19.54
38,348.82,19.12
39,264.29,17.14
40,309.33,18.37
41,305.58,18.02
42,282.11,17.5
43,342.26,18.89
44,343.16,18.99
45,275.9,17.53
46,312.25,18.21
47,270.06,17.17
48,232.43,16.11
49,227.93,15.89
50,233.23,15.99
