epoch,train_loss,val_loss
1,0.7417,0.7095
2,0.7225,0.6982
3,0.7181,0.6867
4,0.7149,0.6875
5,0.7099,0.6856
6,0.7109,0.6857
7,0.7155,0.6841
8,0.7153,0.682
9,0.7126,0.6835
10,0.7092,0.6825
11,0.7138,0.6823
12,0.7104,0.683
13,0.7096,0.6825
14,0.7155,0.6805
15,0.7102,0.6816
16,0.71,0.6836
17,0.7128,0.6812
18,0.713,0.6858
19,0.7098,0.6812
20,0.7124,0.6802
21,0.7144,0.6862
22,0.7142,0.6804
23,0.7091,0.6803
24,0.7094,0.6835
25,0.713,0.6801
26,0.7121,0.6794
27,0.7121,0.6807
28,0.7151,0.6802
29,0.712,0.6794
30,0.71,0.6803
31,0.7136,0.6809
32,0.7074,0.6815
33,0.7103,0.6793
34,0.7098,0.6853
35,0.7129,0.6903
36,0.709,0.6834
37,0.7117,0.6803
38,0.7134,0.6793
39,0.7083,0.6884
40,0.7093,0.6801
41,0.7106,0.6796
42,0.7108,0.6817
43,0.7085,0.6802
44,0.7085,0.6795
45,0.7132,0.6812
46,0.7132,0.6793
47,0.7135,0.6784
48,0.7089,0.6788
49,0.7108,0.6913
50,0.7094,0.679
