metric,method,scale,value,retained_fraction
PSNR,Noisy,1.000000,32.360554,
PSNR,Noisy,2.000000,29.379446,
PSNR,Noisy,3.000000,27.626797,
PSNR,Noisy,4.000000,26.382397,
PSNR,Noisy,5.000000,25.417310,
PSNR,Noisy,6.000000,24.626251,
PSNR,Noisy,7.000000,23.961957,
PSNR,Noisy,8.000000,23.382785,
PSNR,Noisy,9.000000,22.874354,
PSNR,Noisy,10.000000,22.420122,
PSNR,N2V,1.000000,42.625815,
PSNR,N2V,2.000000,40.880237,
PSNR,N2V,3.000000,39.684169,
PSNR,N2V,4.000000,38.783544,
PSNR,N2V,5.000000,38.046687,
PSNR,N2V,6.000000,37.407098,
PSNR,N2V,7.000000,36.837119,
PSNR,N2V,8.000000,36.291188,
PSNR,N2V,9.000000,35.773562,
PSNR,N2V,10.000000,35.277456,
PSNR,PN2V,1.000000,42.849263,
PSNR,PN2V,2.000000,40.862282,
PSNR,PN2V,3.000000,39.703479,
PSNR,PN2V,4.000000,38.919408,
PSNR,PN2V,5.000000,38.326906,
PSNR,PN2V,6.000000,37.861554,
PSNR,PN2V,7.000000,37.479500,
PSNR,PN2V,8.000000,37.146274,
PSNR,PN2V,9.000000,36.855642,
PSNR,PN2V,10.000000,36.600304,
PSNR,PPN2V,1.000000,45.015676,
PSNR,PPN2V,2.000000,42.189482,
PSNR,PPN2V,3.000000,40.065437,
PSNR,PPN2V,4.000000,38.457861,
PSNR,PPN2V,5.000000,37.182950,
PSNR,PPN2V,6.000000,36.151917,
PSNR,PPN2V,7.000000,35.300045,
PSNR,PPN2V,8.000000,34.581307,
PSNR,PPN2V,9.000000,33.956907,
PSNR,PPN2V,10.000000,33.397603,
PSNR,DeepCAD-RT,1.000000,47.264782,
PSNR,DeepCAD-RT,2.000000,46.849797,
PSNR,DeepCAD-RT,3.000000,46.484335,
PSNR,DeepCAD-RT,4.000000,46.194511,
PSNR,DeepCAD-RT,5.000000,45.925682,
PSNR,DeepCAD-RT,6.000000,45.698795,
PSNR,DeepCAD-RT,7.000000,45.483384,
PSNR,DeepCAD-RT,8.000000,45.299040,
PSNR,DeepCAD-RT,9.000000,45.134744,
PSNR,DeepCAD-RT,10.000000,44.959754,
PSNR,λ = 0.001 (T=1),1.000000,45.525005,
PSNR,λ = 0.001 (T=1),2.000000,45.487148,
PSNR,λ = 0.001 (T=1),3.000000,45.457644,
PSNR,λ = 0.001 (T=1),4.000000,45.434480,
PSNR,λ = 0.001 (T=1),5.000000,45.413288,
PSNR,λ = 0.001 (T=1),6.000000,45.396574,
PSNR,λ = 0.001 (T=1),7.000000,45.379935,
PSNR,λ = 0.001 (T=1),8.000000,45.364155,
PSNR,λ = 0.001 (T=1),9.000000,45.350797,
PSNR,λ = 0.001 (T=1),10.000000,45.336177,
PSNR,λ = 0.001 (T=3),1.000000,45.527402,
PSNR,λ = 0.001 (T=3),2.000000,45.475755,
PSNR,λ = 0.001 (T=3),3.000000,45.437432,
PSNR,λ = 0.001 (T=3),4.000000,45.409597,
PSNR,λ = 0.001 (T=3),5.000000,45.385950,
PSNR,λ = 0.001 (T=3),6.000000,45.366691,
PSNR,λ = 0.001 (T=3),7.000000,45.348895,
PSNR,λ = 0.001 (T=3),8.000000,45.333007,
PSNR,λ = 0.001 (T=3),9.000000,45.318345,
PSNR,λ = 0.001 (T=3),10.000000,45.303554,
PSNR,λ = 0.1 (T=1),1.000000,35.822006,
PSNR,λ = 0.1 (T=1),2.000000,32.813308,
PSNR,λ = 0.1 (T=1),3.000000,31.048530,
PSNR,λ = 0.1 (T=1),4.000000,29.868094,
PSNR,λ = 0.1 (T=1),5.000000,28.897117,
PSNR,λ = 0.1 (T=1),6.000000,28.104293,
PSNR,λ = 0.1 (T=1),7.000000,27.433556,
PSNR,λ = 0.1 (T=1),8.000000,26.847780,
PSNR,λ = 0.1 (T=1),9.000000,26.332825,
PSNR,λ = 0.1 (T=1),10.000000,25.880083,
PSNR,λ = 0.1 (T=3),1.000000,35.890336,
PSNR,λ = 0.1 (T=3),2.000000,32.877222,
PSNR,λ = 0.1 (T=3),3.000000,31.110245,
PSNR,λ = 0.1 (T=3),4.000000,29.851834,
PSNR,λ = 0.1 (T=3),5.000000,28.879751,
PSNR,λ = 0.1 (T=3),6.000000,28.085603,
PSNR,λ = 0.1 (T=3),7.000000,27.413860,
PSNR,λ = 0.1 (T=3),8.000000,26.827517,
PSNR,λ = 0.1 (T=3),9.000000,26.312434,
PSNR,λ = 0.1 (T=3),10.000000,25.858725,
PSNR,λ = RL,1.000000,39.348851,
PSNR,λ = RL,2.000000,36.080866,
PSNR,λ = RL,3.000000,34.453653,
PSNR,λ = RL,4.000000,33.171976,
PSNR,λ = RL,5.000000,32.184676,
PSNR,λ = RL,6.000000,31.379766,
PSNR,λ = RL,7.000000,30.609051,
PSNR,λ = RL,8.000000,30.018066,
PSNR,λ = RL,9.000000,29.500956,
PSNR,λ = RL,10.000000,29.125542,
SSIM,Noisy,1.000000,0.617652,
SSIM,Noisy,2.000000,0.450048,
SSIM,Noisy,3.000000,0.354645,
SSIM,Noisy,4.000000,0.292962,
SSIM,Noisy,5.000000,0.249714,
SSIM,Noisy,6.000000,0.217650,
SSIM,Noisy,7.000000,0.193050,
SSIM,Noisy,8.000000,0.173367,
SSIM,Noisy,9.000000,0.157438,
SSIM,Noisy,10.000000,0.144197,
SSIM,N2V,1.000000,0.960997,
SSIM,N2V,2.000000,0.934674,
SSIM,N2V,3.000000,0.910519,
SSIM,N2V,4.000000,0.887744,
SSIM,N2V,5.000000,0.866052,
SSIM,N2V,6.000000,0.845228,
SSIM,N2V,7.000000,0.825439,
SSIM,N2V,8.000000,0.805969,
SSIM,N2V,9.000000,0.787225,
SSIM,N2V,10.000000,0.768934,
SSIM,PN2V,1.000000,0.956759,
SSIM,PN2V,2.000000,0.928360,
SSIM,PN2V,3.000000,0.906502,
SSIM,PN2V,4.000000,0.888871,
SSIM,PN2V,5.000000,0.873959,
SSIM,PN2V,6.000000,0.861152,
SSIM,PN2V,7.000000,0.849869,
SSIM,PN2V,8.000000,0.839495,
SSIM,PN2V,9.000000,0.829999,
SSIM,PN2V,10.000000,0.821443,
SSIM,PPN2V,1.000000,0.974635,
SSIM,PPN2V,2.000000,0.947359,
SSIM,PPN2V,3.000000,0.914155,
SSIM,PPN2V,4.000000,0.878875,
SSIM,PPN2V,5.000000,0.843432,
SSIM,PPN2V,6.000000,0.809331,
SSIM,PPN2V,7.000000,0.777376,
SSIM,PPN2V,8.000000,0.747760,
SSIM,PPN2V,9.000000,0.720123,
SSIM,PPN2V,10.000000,0.693877,
SSIM,DeepCAD-RT,1.000000,0.992803,
SSIM,DeepCAD-RT,2.000000,0.991837,
SSIM,DeepCAD-RT,3.000000,0.990909,
SSIM,DeepCAD-RT,4.000000,0.990051,
SSIM,DeepCAD-RT,5.000000,0.989235,
SSIM,DeepCAD-RT,6.000000,0.988478,
SSIM,DeepCAD-RT,7.000000,0.987730,
SSIM,DeepCAD-RT,8.000000,0.987009,
SSIM,DeepCAD-RT,9.000000,0.986331,
SSIM,DeepCAD-RT,10.000000,0.985659,
SSIM,λ = 0.001 (T=1),1.000000,0.989216,
