panel,metric,method,stack,n,median,q1,q3,iqr,censored_fraction,relative_pct
A,bg,Noisy,19_Green,10000,61.527900,54.114900,69.682200,15.567300,0.000000,
A,bg,Noisy,20_Green,9999,58.562700,51.891000,66.717000,14.826000,0.000000,
A,bg,Noisy,29_Green,10000,83.025600,74.130000,94.145100,20.015100,0.000000,
A,bg,Noisy,30_Green,10000,57.821400,51.149700,65.234400,14.084700,0.000000,
A,bg,N2V,19_Green,10000,37.065000,29.652000,45.219300,15.567300,0.000000,
A,bg,N2V,20_Green,9999,34.099800,28.169400,42.254100,14.084700,0.000000,
A,bg,N2V,29_Green,10000,55.597500,45.960600,67.458300,21.497700,0.000000,
A,bg,N2V,30_Green,10000,34.099800,28.169400,41.512800,13.343400,0.000000,
A,bg,PN2V,19_Green,10000,37.065000,29.652000,46.701900,17.049900,0.000000,
A,bg,PN2V,20_Green,9999,34.099800,28.169400,42.995400,14.826000,0.000000,
A,bg,PN2V,29_Green,10000,52.632300,43.736700,64.493100,20.756400,0.000000,
A,bg,PN2V,30_Green,10000,33.358500,27.428100,41.512800,14.084700,0.000000,
A,bg,PPN2V,19_Green,10000,30.393300,24.462900,39.288900,14.826000,0.000000,
A,bg,PPN2V,20_Green,9999,28.169400,22.980300,35.582400,12.602100,0.000000,
A,bg,PPN2V,29_Green,10000,44.478000,35.582400,55.597500,20.015100,0.000000,
A,bg,PPN2V,30_Green,10000,28.169400,22.239000,34.841100,12.602100,0.000000,
A,bg,DeepCAD-RT,19_Green,10000,15.567300,10.378200,24.462900,14.084700,0.000000,
A,bg,DeepCAD-RT,20_Green,9999,13.343400,8.895600,20.756400,11.860800,0.000000,
A,bg,DeepCAD-RT,29_Green,10000,23.721600,14.826000,36.323700,21.497700,0.000000,
A,bg,DeepCAD-RT,30_Green,10000,14.826000,9.636900,22.980300,13.343400,0.000000,
A,bg,λ = 0.001 (T=1),19_Green,10000,2.965200,2.223900,3.706500,1.482600,0.000200,
A,bg,λ = 0.001 (T=1),20_Green,9999,2.965200,1.482600,2.965200,1.482600,0.000400,
A,bg,λ = 0.001 (T=1),29_Green,10000,4.447800,2.965200,5.930400,2.965200,0.000000,
A,bg,λ = 0.001 (T=1),30_Green,10000,2.965200,1.482600,2.965200,1.482600,0.000000,
