domain,metric,x,rl,frozen,diff
simulated,AUC,1.0,0.996602,0.996510,0.000092
simulated,AUC,2.0,0.987203,0.986373,0.000830
simulated,AUC,3.0,0.966163,0.964641,0.001522
simulated,AUC,4.0,0.933920,0.932240,0.001680
simulated,AUC,5.0,0.889340,0.887339,0.002001
simulated,AUC,6.0,0.850311,0.844958,0.005353
simulated,AUC,7.0,0.799147,0.795387,0.003760
simulated,AUC,8.0,0.737515,0.733495,0.004020
simulated,AUC,9.0,0.683077,0.680836,0.002241
simulated,AUC,10.0,0.611063,0.611692,-0.000629
simulated,F1,1.0,0.995206,0.994641,0.000565
simulated,F1,2.0,0.969453,0.965108,0.004345
simulated,F1,3.0,0.946938,0.943336,0.003602
simulated,F1,4.0,0.886419,0.892350,-0.005931
simulated,F1,5.0,0.841453,0.829546,0.011907
simulated,F1,6.0,0.813915,0.805468,0.008447
simulated,F1,7.0,0.759634,0.758054,0.001580
simulated,F1,8.0,0.673381,0.685183,-0.011802
simulated,F1,9.0,0.657004,0.643824,0.013180
simulated,F1,10.0,0.634521,0.621403,0.013118
simulated,Loc_MedianAE,1.0,0.298714,0.300539,-0.001825
simulated,Loc_MedianAE,2.0,0.327818,0.330434,-0.002616
simulated,Loc_MedianAE,3.0,0.357256,0.358662,-0.001406
simulated,Loc_MedianAE,4.0,0.384696,0.387561,-0.002865
simulated,Loc_MedianAE,5.0,0.384101,0.380864,0.003237
simulated,Loc_MedianAE,6.0,0.404131,0.404230,-0.000099
simulated,Loc_MedianAE,7.0,0.436589,0.438509,-0.001920
simulated,Loc_MedianAE,8.0,0.413433,0.456846,-0.043413
simulated,Loc_MedianAE,9.0,0.433115,0.439126,-0.006011
simulated,Loc_MedianAE,10.0,0.448196,0.442822,0.005374
experimental,bg,19_Green,49.667100,48.184500,1.482600
experimental,bg,20_Green,22.239000,17.791200,4.447800
experimental,bg,29_Green,71.906100,70.423500,1.482600
experimental,bg,30_Green,48.925800,47.443200,1.482600
experimental,loc,19_Green,0.187059,0.184557,0.002502
experimental,loc,20_Green,0.177866,0.176926,0.000940
experimental,loc,29_Green,0.246108,0.242945,0.003163
experimental,loc,30_Green,0.147617,0.145631,0.001986
experimental,phot,19_Green,19.271182,17.328946,1.942236
experimental,phot,20_Green,22.306440,24.674336,-2.367896
experimental,phot,29_Green,25.240421,22.308824,2.931598
experimental,phot,30_Green,19.186574,16.800714,2.385860
