scale,crb_px,raw_LSE,RL_LSE,delta_LSE,n_paired_LSE,retention_paired_LSE_pct,raw_MLE,RL_MLE,delta_MLE,n_paired_MLE,retention_paired_MLE_pct,ratio_raw_LSE_over_CRB,ratio_RL_LSE_over_CRB,ratio_raw_MLE_over_CRB,ratio_RL_MLE_over_CRB
1,0.0958987395292753,0.292696644758146,0.2963939459511043,-0.003697301192958302,3924,98.1,0.27296950471977943,0.28167692510629194,-0.00870742038651251,3984,99.6,3.052142772625219,3.090696993578557,2.846434750442671,2.9372328196274524
2,0.1024088714377384,0.33033724044947615,0.3307906195157449,-0.00045337906626874425,3864,96.6,0.3269947119715059,0.3328981363858576,-0.0059034244143516545,3919,97.975,3.2256701573975604,3.2300973037951692,3.1930311054185294,3.250676740327618
3,0.10779126432518685,0.3605650766347454,0.3677561743854043,-0.0071910977506589036,3803,95.075,0.36738309815146386,0.37472053061630556,-0.007337432464841698,3836,95.9,3.345030591226627,3.411743768733894,3.4082826697638056,3.476353422164538
4,0.11256304196600114,0.39293863859073674,0.3944114760932049,-0.0014728375024681828,3640,91.0,0.4046818723195351,0.405475555602273,-0.0007936832827378781,3740,93.5,3.4908317306263013,3.5039162873044427,3.5951575690515396,3.602208580368181
5,0.1169112792851349,0.4313283437309837,0.4277782130513153,0.0035501306796684173,3541,88.525,0.4557186326082126,0.4462737167132908,0.009444915894921802,3645,91.125,3.68936467352322,3.658998649805269,3.8979868785522442,3.817199841128023
6,0.12095170807365395,0.4510034968650773,0.4471301398170834,0.0038733570479939083,3387,84.675,0.4743638563105906,0.4710830847658613,0.0032807715447292773,3511,87.775,3.728789812463311,3.696765816195022,3.9219277169837494,3.8948030769354136
7,0.12475033973098935,0.49044479374423366,0.48114776208134613,0.009297031662887534,3316,82.9,0.5309412617376714,0.5082773302371051,0.022663931500566337,3394,84.85,3.9314104859499777,3.8568853849928533,4.2560305878331794,4.0743562809780745
8,0.1283567584978919,0.49483260318907557,0.4930958266867147,0.0017367765023608706,3172,79.3,0.5488084624176802,0.5195241954032874,0.029284267014392795,3295,82.375,3.855134774202034,3.8416039206444523,4.2756491270126125,4.047501678003344
9,0.13179953440233705,0.5168529153462946,0.504152769317622,0.012700146028672643,3133,78.325,0.5576791824903713,0.5162654228213137,0.04141375966905758,3195,79.875,3.921507899781548,3.8251483330633254,4.2312682288237475,3.9170504293690387
10,0.1351053715729305,0.5435153663798025,0.5426848298456377,0.0008305365341647608,2949,73.725,0.5960237969518956,0.5566474676973108,0.039376329254584785,3117,77.925,4.022899756331379,4.0167524320281665,4.411547742423839,4.12009871418643
