domain,pair,metric,scale,short_T,long_T,short,long,delta,experiment
simulated,$\lambda$ = 0.001,AUC,1.000000,T=1,T=3,0.096456,0.110633,0.014177,
simulated,$\lambda$ = 0.001,AUC,2.000000,T=1,T=3,0.054937,0.052405,-0.002532,
simulated,$\lambda$ = 0.001,AUC,3.000000,T=1,T=3,0.035696,0.028354,-0.007342,
simulated,$\lambda$ = 0.001,AUC,4.000000,T=1,T=3,0.029620,0.017975,-0.011645,
simulated,$\lambda$ = 0.001,AUC,5.000000,T=1,T=3,0.024051,0.012405,-0.011646,
simulated,$\lambda$ = 0.001,AUC,6.000000,T=1,T=3,0.017722,0.009873,-0.007849,
simulated,$\lambda$ = 0.001,AUC,7.000000,T=1,T=3,0.016203,0.006582,-0.009621,
simulated,$\lambda$ = 0.001,AUC,8.000000,T=1,T=3,0.016203,0.004810,-0.011393,
simulated,$\lambda$ = 0.001,AUC,9.000000,T=1,T=3,0.015443,0.003291,-0.012152,
simulated,$\lambda$ = 0.001,AUC,10.000000,T=1,T=3,0.013165,0.003291,-0.009874,
simulated,$\lambda$ = 0.001,F1,1.000000,T=1,T=3,0.302638,0.354121,0.051483,
simulated,$\lambda$ = 0.001,F1,2.000000,T=1,T=3,0.196262,0.193614,-0.002648,
simulated,$\lambda$ = 0.001,F1,3.000000,T=1,T=3,0.134900,0.109842,-0.025058,
simulated,$\lambda$ = 0.001,F1,4.000000,T=1,T=3,0.103103,0.069621,-0.033482,
simulated,$\lambda$ = 0.001,F1,5.000000,T=1,T=3,0.080912,0.042168,-0.038744,
simulated,$\lambda$ = 0.001,F1,6.000000,T=1,T=3,0.074900,0.032580,-0.042320,
simulated,$\lambda$ = 0.001,F1,7.000000,T=1,T=3,0.060678,0.025674,-0.035004,
simulated,$\lambda$ = 0.001,F1,8.000000,T=1,T=3,0.048766,0.016924,-0.031842,
simulated,$\lambda$ = 0.001,F1,9.000000,T=1,T=3,0.046825,0.014323,-0.032502,
simulated,$\lambda$ = 0.001,F1,10.000000,T=1,T=3,0.045653,0.010510,-0.035143,
simulated,$\lambda$ = 0.001,Loc_MedianAE,1.000000,T=1,T=3,0.278713,0.289332,0.010619,
simulated,$\lambda$ = 0.001,Loc_MedianAE,2.000000,T=1,T=3,0.315186,0.311068,-0.004118,
simulated,$\lambda$ = 0.001,Loc_MedianAE,3.000000,T=1,T=3,0.358041,0.344388,-0.013653,
simulated,$\lambda$ = 0.001,Loc_MedianAE,4.000000,T=1,T=3,0.363109,0.354261,-0.008848,
simulated,$\lambda$ = 0.001,Loc_MedianAE,5.000000,T=1,T=3,0.394864,0.361641,-0.033223,
simulated,$\lambda$ = 0.001,Loc_MedianAE,6.000000,T=1,T=3,0.438571,0.382074,-0.056497,
simulated,$\lambda$ = 0.001,Loc_MedianAE,7.000000,T=1,T=3,0.446653,0.381598,-0.065055,
simulated,$\lambda$ = 0.001,Loc_MedianAE,8.000000,T=1,T=3,0.464320,0.464131,-0.000189,
simulated,$\lambda$ = 0.001,Loc_MedianAE,9.000000,T=1,T=3,0.485833,0.413215,-0.072618,
simulated,$\lambda$ = 0.001,Loc_MedianAE,10.000000,T=1,T=3,0.505815,0.399920,-0.105895,
simulated,$\lambda$ = 0.1,AUC,1.000000,T=1,T=3,0.997621,0.997241,-0.000380,
simulated,$\lambda$ = 0.1,AUC,2.000000,T=1,T=3,0.981944,0.981129,-0.000815,
simulated,$\lambda$ = 0.1,AUC,3.000000,T=1,T=3,0.955325,0.956455,0.001130,
simulated,$\lambda$ = 0.1,AUC,4.000000,T=1,T=3,0.914765,0.915413,0.000648,
simulated,$\lambda$ = 0.1,AUC,5.000000,T=1,T=3,0.854680,0.853870,-0.000810,
simulated,$\lambda$ = 0.1,AUC,6.000000,T=1,T=3,0.801024,0.807775,0.006751,
simulated,$\lambda$ = 0.1,AUC,7.000000,T=1,T=3,0.725327,0.729562,0.004235,
simulated,$\lambda$ = 0.1,AUC,8.000000,T=1,T=3,0.639687,0.641877,0.002190,
simulated,$\lambda$ = 0.1,AUC,9.000000,T=1,T=3,0.557497,0.562919,0.005422,
simulated,$\lambda$ = 0.1,AUC,10.000000,T=1,T=3,0.480676,0.483595,0.002919,
simulated,$\lambda$ = 0.1,F1,1.000000,T=1,T=3,0.988145,0.988387,0.000242,
simulated,$\lambda$ = 0.1,F1,2.000000,T=1,T=3,0.972848,0.972602,-0.000246,
simulated,$\lambda$ = 0.1,F1,3.000000,T=1,T=3,0.914120,0.913039,-0.001081,
simulated,$\lambda$ = 0.1,F1,4.000000,T=1,T=3,0.882394,0.883602,0.001208,
simulated,$\lambda$ = 0.1,F1,5.000000,T=1,T=3,0.804578,0.806043,0.001465,
simulated,$\lambda$ = 0.1,F1,6.000000,T=1,T=3,0.762141,0.762997,0.000856,
simulated,$\lambda$ = 0.1,F1,7.000000,T=1,T=3,0.725012,0.727294,0.002282,
simulated,$\lambda$ = 0.1,F1,8.000000,T=1,T=3,0.658605,0.660743,0.002138,
simulated,$\lambda$ = 0.1,F1,9.000000,T=1,T=3,0.580071,0.588433,0.008362,
simulated,$\lambda$ = 0.1,F1,10.000000,T=1,T=3,0.497030,0.505233,0.008203,
simulated,$\lambda$ = 0.1,Loc_MedianAE,1.000000,T=1,T=3,0.305946,0.305897,-0.000049,
simulated,$\lambda$ = 0.1,Loc_MedianAE,2.000000,T=1,T=3,0.340731,0.342711,0.001980,
simulated,$\lambda$ = 0.1,Loc_MedianAE,3.000000,T=1,T=3,0.354861,0.356865,0.002004,
simulated,$\lambda$ = 0.1,Loc_MedianAE,4.000000,T=1,T=3,0.383936,0.386192,0.002256,
simulated,$\lambda$ = 0.1,Loc_MedianAE,5.000000,T=1,T=3,0.410703,0.408809,-0.001894,
simulated,$\lambda$ = 0.1,Loc_MedianAE,6.000000,T=1,T=3,0.404087,0.402712,-0.001375,
simulated,$\lambda$ = 0.1,Loc_MedianAE,7.000000,T=1,T=3,0.432683,0.433040,0.000357,
simulated,$\lambda$ = 0.1,Loc_MedianAE,8.000000,T=1,T=3,0.455283,0.454812,-0.000471,
simulated,$\lambda$ = 0.1,Loc_MedianAE,9.000000,T=1,T=3,0.475367,0.475098,-0.000269,
simulated,$\lambda$ = 0.1,Loc_MedianAE,10.000000,T=1,T=3,0.498356,0.494345,-0.004011,
simulated,frozen $\lambda$,AUC,1.000000,T=1,T=5,0.997532,0.996510,-0.001022,
simulated,frozen $\lambda$,AUC,2.000000,T=1,T=5,0.985864,0.986373,0.000509,
simulated,frozen $\lambda$,AUC,3.000000,T=1,T=5,0.965933,0.964641,-0.001292,
simulated,frozen $\lambda$,AUC,4.000000,T=1,T=5,0.932506,0.932240,-0.000266,
simulated,frozen $\lambda$,AUC,5.000000,T=1,T=5,0.881609,0.887339,0.005730,
simulated,frozen $\lambda$,AUC,6.000000,T=1,T=5,0.836280,0.844958,0.008678,
simulated,frozen $\lambda$,AUC,7.000000,T=1,T=5,0.786272,0.795387,0.009115,
simulated,frozen $\lambda$,AUC,8.000000,T=1,T=5,0.721187,0.733495,0.012308,
