frame,method,threshold,TP,FP,FN,F1,n_gt
111,Noisy,40.000000,22,69,4,0.376068,26
145,Noisy,40.000000,22,94,4,0.309859,26
464,Noisy,40.000000,23,85,3,0.343284,26
712,Noisy,40.000000,24,79,3,0.369231,27
724,Noisy,40.000000,24,105,4,0.305732,28
725,Noisy,40.000000,26,72,1,0.416000,27
726,Noisy,40.000000,23,87,4,0.335766,27
727,Noisy,40.000000,21,87,6,0.311111,27
728,Noisy,40.000000,23,85,4,0.340741,27
738,Noisy,40.000000,24,98,2,0.324324,26
739,Noisy,40.000000,23,87,3,0.338235,26
740,Noisy,40.000000,23,82,3,0.351145,26
741,Noisy,40.000000,24,81,4,0.360902,28
742,Noisy,40.000000,24,81,2,0.366412,26
743,Noisy,40.000000,24,109,2,0.301887,26
744,Noisy,40.000000,22,89,4,0.321168,26
748,Noisy,40.000000,19,88,7,0.285714,26
750,Noisy,40.000000,24,92,4,0.333333,28
751,Noisy,40.000000,22,98,5,0.299320,27
753,Noisy,40.000000,21,94,5,0.297872,26
758,Noisy,40.000000,20,89,7,0.294118,27
759,Noisy,40.000000,24,74,3,0.384000,27
760,Noisy,40.000000,22,101,5,0.293333,27
761,Noisy,40.000000,22,84,5,0.330827,27
762,Noisy,40.000000,25,81,3,0.373134,28
763,Noisy,40.000000,25,96,1,0.340136,26
764,Noisy,40.000000,23,87,4,0.335766,27
765,Noisy,40.000000,23,93,3,0.323944,26
768,Noisy,40.000000,25,82,1,0.375940,26
771,Noisy,40.000000,24,94,5,0.326531,29
772,Noisy,40.000000,23,79,4,0.356589,27
773,Noisy,40.000000,25,88,2,0.357143,27
776,Noisy,40.000000,20,81,6,0.314961,26
777,Noisy,40.000000,22,106,6,0.282051,28
778,Noisy,40.000000,23,93,5,0.319444,28
781,Noisy,40.000000,25,76,1,0.393701,26
782,Noisy,40.000000,24,94,4,0.328767,28
783,Noisy,40.000000,25,88,4,0.352113,29
784,Noisy,40.000000,22,96,4,0.305556,26
785,Noisy,40.000000,23,87,3,0.338235,26
786,Noisy,40.000000,25,87,1,0.362319,26
852,Noisy,40.000000,21,90,5,0.306569,26
872,Noisy,40.000000,24,88,2,0.347826,26
873,Noisy,40.000000,27,99,2,0.348387,29
875,Noisy,40.000000,22,78,4,0.349206,26
876,Noisy,40.000000,23,88,3,0.335766,26
111,N2V,24.800000,18,0,8,0.818182,26
145,N2V,24.800000,17,0,9,0.790698,26
464,N2V,24.800000,14,0,12,0.700000,26
712,N2V,24.800000,10,3,17,0.500000,27
724,N2V,24.800000,15,1,13,0.681818,28
725,N2V,24.800000,21,0,6,0.875000,27
726,N2V,24.800000,13,0,14,0.650000,27
727,N2V,24.800000,15,0,12,0.714286,27
728,N2V,24.800000,16,0,11,0.744186,27
738,N2V,24.800000,15,2,11,0.697674,26
739,N2V,24.800000,15,0,11,0.731707,26
740,N2V,24.800000,21,2,5,0.857143,26
741,N2V,24.800000,19,2,9,0.775510,28
742,N2V,24.800000,16,0,10,0.761905,26
743,N2V,24.800000,19,0,7,0.844444,26
744,N2V,24.800000,16,1,10,0.744186,26
748,N2V,24.800000,11,0,15,0.594595,26
750,N2V,24.800000,18,0,10,0.782609,28
751,N2V,24.800000,19,0,8,0.826087,27
753,N2V,24.800000,11,0,15,0.594595,26
758,N2V,24.800000,12,0,15,0.615385,27
759,N2V,24.800000,13,0,14,0.650000,27
760,N2V,24.800000,17,0,10,0.772727,27
761,N2V,24.800000,14,0,13,0.682927,27
762,N2V,24.800000,17,0,11,0.755556,28
763,N2V,24.800000,17,2,9,0.755556,26
764,N2V,24.800000,14,0,13,0.682927,27
765,N2V,24.800000,16,0,10,0.761905,26
768,N2V,24.800000,18,2,8,0.782609,26
771,N2V,24.800000,13,0,16,0.619048,29
772,N2V,24.800000,16,1,11,0.727273,27
773,N2V,24.800000,15,0,12,0.714286,27
776,N2V,24.800000,10,0,16,0.555556,26
777,N2V,24.800000,14,0,14,0.666667,28
778,N2V,24.800000,17,5,11,0.680000,28
781,N2V,24.800000,17,0,9,0.790698,26
782,N2V,24.800000,16,2,12,0.695652,28
783,N2V,24.800000,16,1,13,0.695652,29
784,N2V,24.800000,12,1,14,0.615385,26
785,N2V,24.800000,14,0,12,0.700000,26
786,N2V,24.800000,14,0,12,0.700000,26
852,N2V,24.800000,12,2,14,0.600000,26
872,N2V,24.800000,16,3,10,0.711111,26
873,N2V,24.800000,17,2,12,0.708333,29
875,N2V,24.800000,17,0,9,0.790698,26
876,N2V,24.800000,18,1,8,0.800000,26
111,PN2V,17.200000,15,0,11,0.731707,26
145,PN2V,17.200000,16,0,10,0.761905,26
464,PN2V,17.200000,11,0,15,0.594595,26
712,PN2V,17.200000,10,2,17,0.512821,27
724,PN2V,17.200000,14,2,14,0.636364,28
725,PN2V,17.200000,18,0,9,0.800000,27
726,PN2V,17.200000,10,0,17,0.540541,27
727,PN2V,17.200000,13,0,14,0.650000,27
728,PN2V,17.200000,14,0,13,0.682927,27
738,PN2V,17.200000,14,0,12,0.700000,26
739,PN2V,17.200000,13,0,13,0.666667,26
740,PN2V,17.200000,17,0,9,0.790698,26
741,PN2V,17.200000,16,1,12,0.711111,28
742,PN2V,17.200000,13,0,13,0.666667,26
743,PN2V,17.200000,16,0,10,0.761905,26
744,PN2V,17.200000,12,1,14,0.615385,26
748,PN2V,17.200000,9,0,17,0.514286,26
750,PN2V,17.200000,15,1,13,0.681818,28
751,PN2V,17.200000,18,0,9,0.800000,27
753,PN2V,17.200000,11,0,15,0.594595,26
758,PN2V,17.200000,11,1,16,0.564103,27
759,PN2V,17.200000,13,0,14,0.650000,27
760,PN2V,17.200000,11,0,16,0.578947,27
761,PN2V,17.200000,11,0,16,0.578947,27
762,PN2V,17.200000,13,0,15,0.634146,28
763,PN2V,17.200000,16,1,10,0.744186,26
764,PN2V,17.200000,11,0,16,0.578947,27
765,PN2V,17.200000,13,0,13,0.666667,26
768,PN2V,17.200000,11,1,15,0.578947,26
771,PN2V,17.200000,9,0,20,0.473684,29
772,PN2V,17.200000,13,0,14,0.650000,27
773,PN2V,17.200000,11,0,16,0.578947,27
776,PN2V,17.200000,9,0,17,0.514286,26
777,PN2V,17.200000,12,0,16,0.600000,28
778,PN2V,17.200000,14,3,14,0.622222,28
781,PN2V,17.200000,13,0,13,0.666667,26
782,PN2V,17.200000,15,1,13,0.681818,28
783,PN2V,17.200000,16,1,13,0.695652,29
784,PN2V,17.200000,10,1,16,0.540541,26
785,PN2V,17.200000,14,0,12,0.700000,26
786,PN2V,17.200000,9,0,17,0.514286,26
852,PN2V,17.200000,11,3,15,0.550000,26
872,PN2V,17.200000,11,3,15,0.550000,26
873,PN2V,17.200000,8,1,21,0.421053,29
875,PN2V,17.200000,16,0,10,0.761905,26
876,PN2V,17.200000,13,0,13,0.666667,26
111,PPN2V,17.200000,17,1,9,0.772727,26
145,PPN2V,17.200000,15,0,11,0.731707,26
464,PPN2V,17.200000,13,0,13,0.666667,26
712,PPN2V,17.200000,12,4,15,0.558140,27
724,PPN2V,17.200000,14,2,14,0.636364,28
725,PPN2V,17.200000,19,0,8,0.826087,27
726,PPN2V,17.200000,10,1,17,0.526316,27
727,PPN2V,17.200000,14,0,13,0.682927,27
728,PPN2V,17.200000,15,1,12,0.697674,27
738,PPN2V,17.200000,14,3,12,0.651163,26
739,PPN2V,17.200000,14,1,12,0.682927,26
740,PPN2V,17.200000,17,1,9,0.772727,26
741,PPN2V,17.200000,18,1,10,0.765957,28
742,PPN2V,17.200000,15,0,11,0.731707,26
743,PPN2V,17.200000,19,0,7,0.844444,26
744,PPN2V,17.200000,14,1,12,0.682927,26
748,PPN2V,17.200000,12,0,14,0.631579,26
750,PPN2V,17.200000,18,0,10,0.782609,28
751,PPN2V,17.200000,20,0,7,0.851064,27
753,PPN2V,17.200000,14,1,12,0.682927,26
758,PPN2V,17.200000,14,1,13,0.666667,27
759,PPN2V,17.200000,14,0,13,0.682927,27
760,PPN2V,17.200000,13,0,14,0.650000,27
761,PPN2V,17.200000,11,1,16,0.564103,27
762,PPN2V,17.200000,17,0,11,0.755556,28
763,PPN2V,17.200000,16,1,10,0.744186,26
764,PPN2V,17.200000,12,2,15,0.585366,27
765,PPN2V,17.200000,15,0,11,0.731707,26
768,PPN2V,17.200000,16,2,10,0.727273,26
771,PPN2V,17.200000,15,1,14,0.666667,29
772,PPN2V,17.200000,15,1,12,0.697674,27
773,PPN2V,17.200000,16,0,11,0.744186,27
776,PPN2V,17.200000,10,1,16,0.540541,26
777,PPN2V,17.200000,16,0,12,0.727273,28
778,PPN2V,17.200000,15,3,13,0.652174,28
781,PPN2V,17.200000,16,2,10,0.727273,26
782,PPN2V,17.200000,14,2,14,0.636364,28
783,PPN2V,17.200000,18,4,11,0.705882,29
784,PPN2V,17.200000,12,2,14,0.600000,26
785,PPN2V,17.200000,16,1,10,0.744186,26
786,PPN2V,17.200000,13,0,13,0.666667,26
852,PPN2V,17.200000,11,3,15,0.550000,26
872,PPN2V,17.200000,13,3,13,0.619048,26
873,PPN2V,17.200000,15,2,14,0.652174,29
875,PPN2V,17.200000,15,0,11,0.731707,26
876,PPN2V,17.200000,15,1,11,0.714286,26
111,DeepCAD-RT,9.600000,14,1,12,0.682927,26
145,DeepCAD-RT,9.600000,12,1,14,0.615385,26
464,DeepCAD-RT,9.600000,8,0,18,0.470588,26
712,DeepCAD-RT,9.600000,7,1,20,0.400000,27
724,DeepCAD-RT,9.600000,10,0,18,0.526316,28
725,DeepCAD-RT,9.600000,11,0,16,0.578947,27
726,DeepCAD-RT,9.600000,14,0,13,0.682927,27
727,DeepCAD-RT,9.600000,14,0,13,0.682927,27
728,DeepCAD-RT,9.600000,14,1,13,0.666667,27
738,DeepCAD-RT,9.600000,13,2,13,0.634146,26
739,DeepCAD-RT,9.600000,12,1,14,0.615385,26
740,DeepCAD-RT,9.600000,14,2,12,0.666667,26
741,DeepCAD-RT,9.600000,17,0,11,0.755556,28
742,DeepCAD-RT,9.600000,10,0,16,0.555556,26
743,DeepCAD-RT,9.600000,15,0,11,0.731707,26
744,DeepCAD-RT,9.600000,12,0,14,0.631579,26
748,DeepCAD-RT,9.600000,10,0,16,0.555556,26
750,DeepCAD-RT,9.600000,16,0,12,0.727273,28
751,DeepCAD-RT,9.600000,17,0,10,0.772727,27
753,DeepCAD-RT,9.600000,7,1,19,0.411765,26
758,DeepCAD-RT,9.600000,8,0,19,0.457143,27
759,DeepCAD-RT,9.600000,9,1,18,0.486486,27
760,DeepCAD-RT,9.600000,13,0,14,0.650000,27
761,DeepCAD-RT,9.600000,11,0,16,0.578947,27
762,DeepCAD-RT,9.600000,11,0,17,0.564103,28
763,DeepCAD-RT,9.600000,15,1,11,0.714286,26
764,DeepCAD-RT,9.600000,13,0,14,0.650000,27
765,DeepCAD-RT,9.600000,8,1,18,0.457143,26
768,DeepCAD-RT,9.600000,10,0,16,0.555556,26
771,DeepCAD-RT,9.600000,7,0,22,0.388889,29
772,DeepCAD-RT,9.600000,12,0,15,0.615385,27
773,DeepCAD-RT,9.600000,11,0,16,0.578947,27
776,DeepCAD-RT,9.600000,12,1,14,0.615385,26
777,DeepCAD-RT,9.600000,11,0,17,0.564103,28
778,DeepCAD-RT,9.600000,12,1,16,0.585366,28
781,DeepCAD-RT,9.600000,12,0,14,0.631579,26
782,DeepCAD-RT,9.600000,15,0,13,0.697674,28
783,DeepCAD-RT,9.600000,12,1,17,0.571429,29
784,DeepCAD-RT,9.600000,14,0,12,0.700000,26
785,DeepCAD-RT,9.600000,13,1,13,0.650000,26
786,DeepCAD-RT,9.600000,12,0,14,0.631579,26
852,DeepCAD-RT,9.600000,10,0,16,0.555556,26
872,DeepCAD-RT,9.600000,9,0,17,0.514286,26
873,DeepCAD-RT,9.600000,6,0,23,0.342857,29
875,DeepCAD-RT,9.600000,10,0,16,0.555556,26
876,DeepCAD-RT,9.600000,9,1,17,0.500000,26
111,λ = 0.001 (T=1),2.000000,2,0,24,0.142857,26
145,λ = 0.001 (T=1),2.000000,2,0,24,0.142857,26
464,λ = 0.001 (T=1),2.000000,0,0,26,0.000000,26
712,λ = 0.001 (T=1),2.000000,0,0,27,0.000000,27
724,λ = 0.001 (T=1),2.000000,0,0,28,0.000000,28
725,λ = 0.001 (T=1),2.000000,3,0,24,0.200000,27
726,λ = 0.001 (T=1),2.000000,0,0,27,0.000000,27
727,λ = 0.001 (T=1),2.000000,0,0,27,0.000000,27
728,λ = 0.001 (T=1),2.000000,0,0,27,0.000000,27
738,λ = 0.001 (T=1),2.000000,0,0,26,0.000000,26
739,λ = 0.001 (T=1),2.000000,0,0,26,0.000000,26
740,λ = 0.001 (T=1),2.000000,0,0,26,0.000000,26
741,λ = 0.001 (T=1),2.000000,0,0,28,0.000000,28
742,λ = 0.001 (T=1),2.000000,1,0,25,0.074074,26
743,λ = 0.001 (T=1),2.000000,1,0,25,0.074074,26
744,λ = 0.001 (T=1),2.000000,3,0,23,0.206897,26
748,λ = 0.001 (T=1),2.000000,1,0,25,0.074074,26
750,λ = 0.001 (T=1),2.000000,2,0,26,0.133333,28
751,λ = 0.001 (T=1),2.000000,0,0,27,0.000000,27
753,λ = 0.001 (T=1),2.000000,1,0,25,0.074074,26
758,λ = 0.001 (T=1),2.000000,1,0,26,0.071429,27
759,λ = 0.001 (T=1),2.000000,0,0,27,0.000000,27
760,λ = 0.001 (T=1),2.000000,1,0,26,0.071429,27
761,λ = 0.001 (T=1),2.000000,4,0,23,0.258065,27
762,λ = 0.001 (T=1),2.000000,1,0,27,0.068966,28
763,λ = 0.001 (T=1),2.000000,1,0,25,0.074074,26
764,λ = 0.001 (T=1),2.000000,1,0,26,0.071429,27
765,λ = 0.001 (T=1),2.000000,0,0,26,0.000000,26
768,λ = 0.001 (T=1),2.000000,1,0,25,0.074074,26
771,λ = 0.001 (T=1),2.000000,1,0,28,0.066667,29
772,λ = 0.001 (T=1),2.000000,2,0,25,0.137931,27
773,λ = 0.001 (T=1),2.000000,0,0,27,0.000000,27
776,λ = 0.001 (T=1),2.000000,1,0,25,0.074074,26
777,λ = 0.001 (T=1),2.000000,0,0,28,0.000000,28
778,λ = 0.001 (T=1),2.000000,1,0,27,0.068966,28
781,λ = 0.001 (T=1),2.000000,0,0,26,0.000000,26
782,λ = 0.001 (T=1),2.000000,3,0,25,0.193548,28
783,λ = 0.001 (T=1),2.000000,0,0,29,0.000000,29
784,λ = 0.001 (T=1),2.000000,0,0,26,0.000000,26
785,λ = 0.001 (T=1),2.000000,0,0,26,0.000000,26
786,λ = 0.001 (T=1),2.000000,2,0,24,0.142857,26
852,λ = 0.001 (T=1),2.000000,0,0,26,0.000000,26
872,λ = 0.001 (T=1),2.000000,1,0,25,0.074074,26
873,λ = 0.001 (T=1),2.000000,0,0,29,0.000000,29
875,λ = 0.001 (T=1),2.000000,1,0,25,0.074074,26
876,λ = 0.001 (T=1),2.000000,0,0,26,0.000000,26
111,λ = 0.001 (T=3),2.000000,0,0,26,0.000000,26
145,λ = 0.001 (T=3),2.000000,1,0,25,0.074074,26
464,λ = 0.001 (T=3),2.000000,0,0,26,0.000000,26
712,λ = 0.001 (T=3),2.000000,0,0,27,0.000000,27
724,λ = 0.001 (T=3),2.000000,1,0,27,0.068966,28
725,λ = 0.001 (T=3),2.000000,1,0,26,0.071429,27
726,λ = 0.001 (T=3),2.000000,0,0,27,0.000000,27
727,λ = 0.001 (T=3),2.000000,0,0,27,0.000000,27
728,λ = 0.001 (T=3),2.000000,0,0,27,0.000000,27
738,λ = 0.001 (T=3),2.000000,0,0,26,0.000000,26
739,λ = 0.001 (T=3),2.000000,0,0,26,0.000000,26
740,λ = 0.001 (T=3),2.000000,0,0,26,0.000000,26
741,λ = 0.001 (T=3),2.000000,0,0,28,0.000000,28
742,λ = 0.001 (T=3),2.000000,1,0,25,0.074074,26
743,λ = 0.001 (T=3),2.000000,0,0,26,0.000000,26
744,λ = 0.001 (T=3),2.000000,0,0,26,0.000000,26
748,λ = 0.001 (T=3),2.000000,1,0,25,0.074074,26
750,λ = 0.001 (T=3),2.000000,0,0,28,0.000000,28
751,λ = 0.001 (T=3),2.000000,0,0,27,0.000000,27
753,λ = 0.001 (T=3),2.000000,0,0,26,0.000000,26
758,λ = 0.001 (T=3),2.000000,0,0,27,0.000000,27
759,λ = 0.001 (T=3),2.000000,0,0,27,0.000000,27
760,λ = 0.001 (T=3),2.000000,0,0,27,0.000000,27
761,λ = 0.001 (T=3),2.000000,0,0,27,0.000000,27
762,λ = 0.001 (T=3),2.000000,0,0,28,0.000000,28
763,λ = 0.001 (T=3),2.000000,0,0,26,0.000000,26
764,λ = 0.001 (T=3),2.000000,1,0,26,0.071429,27
765,λ = 0.001 (T=3),2.000000,0,0,26,0.000000,26
